Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CS3221,CS3221_CA,CS3221_attendance,CS3211,CS3211_CA,CS3211_attendance,CS3233,CS3233_CA,CS3233_attendance,CS3224,CS3224_CA,CS3224_attendance,CS3214,CS3214_CA,CS3214_attendance,CS3222,CS3222_CA,CS3222_attendance,CS3212,CS3212_CA,CS3212_attendance,CS3235,CS3235_CA,CS3235_attendance,6sem_gpa,5th_sem_GPA,6sem_pass/fail
Male,2,No,Yes,No,A-,25,1,A+,23,1,A-,24,1,A+,26,1,A+,25,1,A,24,1,A+,23,1,A+,27,1,3.92,2.901666667,1
Male,less than 1 hour,Yes,Yes,Yes,C-,28,1,A-,26,1,B+,27,1,A-,29,1,B,28,1,B-,27,1,C+,26,1,A,29,1,3.07,3.185,0
Female,6,No,No,No,B+,22,1,A+,21,1,A,20,1,A+,24,1,A-,23,1,B+,22,1,A,21,1,A-,24,1,3.69,3.173333333,1
Male,less than 1 hour,Yes,Yes,Yes,A+,30,1,A+,29,1,A,28,1,A+,31,1,A+,30,1,A+,29,1,A+,28,1,A+,30,1,4,3.656666667,1
Female,6,No,No,Yes,C+,27,1,A-,26,1,B,25,1,ab,28,1,B,27,1,B,26,1,A-,25,1,A,28,1,3,2.883333333,0
Male,5,Yes,No,No,B+,19,1,A+,17,1,B+,18,1,A+,21,1,A,20,1,A-,19,1,A-,18,1,A-,22,1,3.69,3.01,1
Male,3,Yes,No,Yes,B-,30,1,D+,29,1,B-,28,1,A+,31,1,A-,30,1,C+,29,1,B-,28,1,B+,30,1,2.96,2.675,0
Male,4,No,No,Yes,C+,24,1,C,22,1,C,23,1,A+,26,1,B,25,1,B,24,1,C,23,1,B-,26,1,2.65,2.16,1
Female,1,Yes,No,No,A-,26,1,A+,25,1,A,24,1,A+,28,1,A+,27,1,A+,26,1,A-,25,1,A+,28,1,3.94,3.168333333,1
Male,1,No,No,Yes,B+,31,1,A+,30,1,A,29,1,A-,32,1,A+,31,1,A+,30,1,B,29,1,A+,31,1,3.82,2.696666667,1
Female,3,Yes,No,No,A+,22,1,A+,21,1,A+,20,1,A+,24,1,A+,23,1,A+,22,1,A+,21,1,A+,23,1,4,3.793333333,1
Female,6,Yes,No,Yes,ab,30,0,ab,29,0,ab,28,0,ab,31,0,ab,30,0,ab,29,0,ab,28,1,ab,30,0,0,1.3,0
Male,less than 1 hour,Yes,Yes,Yes,A-,23,1,A+,22,1,B,21,1,A+,25,1,A-,24,1,A,23,1,B,22,1,A,24,1,3.7,3.038333333,1
Female,3,No,No,Yes,B+,31,1,A+,30,1,A-,29,1,A+,32,1,B+,31,1,A+,30,1,A+,29,1,A+,31,1,3.72,2.67,1
Male,4,Yes,No,No,ab,27,0,ab,26,0,ab,25,0,ab,29,0,ab,28,0,ab,27,0,ab,26,0,ab,29,1,0,3.273333333,0
Female,2,No,No,No,B-,20,1,B+,18,1,A-,19,1,A+,21,1,B,20,1,A,19,1,B-,18,1,A,21,1,3.45,3.111666667,1
Female,less than 1 hour,Yes,No,No,B,30,1,C+,29,1,C,28,1,B,31,1,B,30,1,C+,29,1,B,28,1,B-,31,1,2.66,3.038333333,1
Female,4,No,No,No,C+,25,1,A+,23,1,B+,24,1,A+,27,1,B-,25,1,B,26,1,C+,24,1,B+,28,1,3.03,2.548333333,1
Male,3,Yes,No,No,A-,29,1,A,28,1,B+,27,1,A+,30,1,A+,29,1,A+,28,1,B,27,1,A-,30,1,3.74,2.675,1
Male,less than 1 hour,No,No,Yes,B+,18,1,A+,16,1,B+,17,1,A+,20,1,A-,19,1,A,18,1,B+,17,1,A,21,1,3.71,2.901666667,1
Male,1,No,No,Yes,B,31,1,A+,30,1,A-,29,1,A+,32,1,A,31,1,A-,30,1,A-,29,1,A+,32,1,3.77,3.07,1
Male,3,No,No,No,C-,24,1,B+,22,1,B+,23,1,A,26,1,C+,25,1,C-,24,1,C-,23,1,C,26,1,2.35,2.926666667,0
Female,4,No,No,No,B+,28,1,A+,27,1,A+,26,1,A,29,1,A+,28,1,A+,27,1,A-,26,1,A+,29,1,3.89,2.293333333,1
Male,2,No,Yes,Yes,C,21,1,A+,19,1,B+,20,1,A+,23,1,B+,22,1,B+,21,1,B,20,1,B+,23,1,3.2,3.211666667,1
Female,3,Yes,No,No,B-,31,1,A+,30,1,A-,29,1,A+,32,1,A-,31,1,B+,30,1,A,29,1,B+,32,1,3.49,2.47,1
Male,2,No,No,No,C+,26,1,A-,25,1,C+,24,1,A+,28,1,B,27,1,C-,26,1,B,25,1,B+,27,1,2.81,2.775,0
Male,5,No,No,No,B,28,1,A+,26,1,B+,27,1,A,30,1,B+,28,1,B,27,1,B-,26,1,B-,29,1,3.15,1.856666667,1
Male,2,No,No,No,C,30,1,A+,29,1,B+,28,1,A+,31,1,A-,30,1,B,29,1,C+,28,1,B,30,1,3.13,2.7,1
Male,6,No,No,Yes,B,22,1,A+,20,1,B,21,1,A-,24,1,B+,23,1,A-,22,1,B,21,1,A-,23,1,3.41,2.51,1
Male,less than 1 hour,No,Yes,No,C+,30,1,D,29,1,B+,28,1,A+,32,1,A-,31,1,B+,30,1,C,28,1,B+,31,1,3.05,2.375,0
Male,2,Yes,No,No,C,25,1,A+,23,1,B-,24,1,A+,27,1,A-,26,1,B+,25,1,B+,24,1,B,26,1,3.16,1.568333333,1
Male,3,No,Yes,No,B,19,1,A+,17,1,B+,18,1,A+,21,1,A,20,1,C+,19,1,A-,18,1,B,22,1,3.33,2.728333333,1
Male,2,Yes,No,Yes,B,30,1,A+,29,1,A,28,1,A+,31,1,A+,30,1,A+,29,1,B+,28,1,B,31,1,3.62,2.66,1
Male,4,No,No,No,B+,27,1,A+,25,1,A-,26,1,A+,29,1,A,27,1,B+,26,1,B,25,1,B,28,1,3.51,3.26,1
Male,4,No,No,Yes,B,30,1,A,29,1,B+,28,1,A+,32,1,A-,31,1,B+,30,1,C,29,1,B+,31,1,3.35,3.225,1
