Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Female,2,Yes,No,No,C+,30,1,D,28,1,A,31,1,B+,30,1,D+,32,1,C-,28,1,B-,32,1,B+,30,1,B,31,1,2.41,2.7,0
Male,6,No,No,No,B,29,1,ab,26,0,ab,30,0,D+,28,1,E,30,1,ab,25,0,ab,30,0,ab,29,0,D,30,1,0.71,1.96,0
Male,less than 1 hour,Yes,No,Yes,C+,27,1,C+,24,1,A,28,1,B+,26,1,ab,29,0,ab,23,0,B-,28,1,B,27,1,A-,28,1,2.37,2.955,0
Female,3,No,No,Yes,B,21,1,C-,15,1,B+,20,1,C+,18,1,C+,22,1,A-,14,1,C+,21,1,C+,19,1,A,19,1,2.7,2.495,1
Male,4,No,No,No,B-,29,1,D,27,1,B-,30,1,D,29,1,D,30,1,B+,25,1,D+,30,1,B-,28,1,B,29,1,1.91,2.455,0
Male,3,No,No,No,B+,30,1,B-,28,1,B-,31,1,B+,30,1,C+,32,1,B,28,1,C+,31,1,B-,31,1,A,32,1,2.95,2.74,0
Male,2,No,Yes,No,B+,20,1,D+,12,1,B+,18,1,C+,14,1,C-,20,1,D+,10,1,D+,19,1,C+,17,1,B,16,1,2.18,2.62,0
Male,5,No,No,No,B+,29,1,C-,25,1,B+,28,1,C+,26,1,C,29,1,B-,23,1,D+,29,1,D+,28,1,B+,29,1,2.34,2.715,0
Male,3,No,No,No,B+,26,1,C-,22,1,B,27,1,ab,24,0,E,27,1,B-,20,1,E,28,1,B,25,1,B-,26,1,1.61,2.255,0
Male,2,Yes,No,No,C-,15,1,ab,8,0,ab,14,0,D,11,1,ab,15,0,B+,6,1,E,15,1,D+,11,1,E,10,1,0.67,2.31,0
Male,1,Yes,No,Yes,C-,28,1,ab,25,0,ab,29,0,E,26,1,E,29,1,B,22,1,ab,29,0,D,28,1,E,28,1,0.49,1.56,0
Male,3,No,No,No,A,23,1,A,24,1,A+,22,1,B-,23,1,B,24,1,A-,25,1,A,24,1,A+,26,1,B,25,1,3.54,3.455,1
Male,2,No,No,No,B+,29,1,B+,28,1,B+,27,1,C+,30,1,C,29,1,C+,28,1,C+,30,1,C+,31,1,A,29,1,2.82,3.58,1
Male,4,No,No,No,A+,31,1,A+,30,1,A+,29,1,A,31,1,B,30,1,A+,31,1,A+,30,1,A,29,1,A,31,1,3.86,3.51,1
Male,3,No,Yes,No,A-,21,1,A,22,1,A,20,1,B+,21,1,B,20,1,B-,21,1,B,22,1,B,20,1,A,21,1,3.45,3.825,1
Female,5,Yes,No,No,A+,26,1,A+,27,1,A+,25,1,B,26,1,B,25,1,A,26,1,A+,25,1,A+,24,1,A,25,1,3.73,3.235,1
Male,3,Yes,No,Yes,A-,30,1,A+,29,1,A+,31,1,B-,30,1,B+,31,1,A,30,1,A-,29,1,A+,30,1,A-,31,1,3.61,3.915,1
