Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2221,CO2221_CA,CO2221_attendance,CO2222,CO2222_CA,CO2222_attendance,CO2212,CO2212_CA,CO2212_attendance,CO2223,CO2223_CA,CO2223_attendance,CO2213,CO2213_CA,CO2213_attendance,CO2224,CO2224_CA,CO2224_attendance,CO2214,CO2214_CA,CO2214_attendance,CO2225,CO2225_CA,CO2225_attendance,CO2226,CO2226_CA,CO2226_attendance,4sem_gpa,3rd_sem_GPA,4sem_pass/fail
Male,3,No,No,No,B-,23,1,B+,22,1,A,25,1,A,24,1,A+,23,1,C+,25,1,A,26,1,B,24,1,C-,24,1,3.06,3.483333333,0
Male,2,No,No,No,B+,28,1,B+,29,1,A-,26,1,B,27,1,C+,28,1,B-,29,1,A-,30,1,A-,27,1,C,28,1,3.05,3.326666667,1
Male,4,No,No,No,A-,29,1,A+,31,1,A,30,1,A+,31,1,A,30,1,B-,29,1,A,30,1,A+,30,1,B-,29,1,3.61,3.626666667,1
Male,3,No,Yes,No,B+,21,1,A,23,1,A,24,1,A,23,1,A,22,1,B-,21,1,A-,22,1,A+,22,1,C-,23,1,3.41,3.7,0
Female,5,Yes,No,No,A+,29,1,A+,27,1,B+,28,1,A-,27,1,A+,28,1,B+,29,1,A,28,1,A,28,1,B,27,1,3.69,3.4,1
Male,3,Yes,No,Yes,B+,25,1,A+,27,1,A,26,1,B+,25,1,A,26,1,C,27,1,B,26,1,B,26,1,B-,25,1,3.17,3.813333333,1
Male,2,No,Yes,No,A-,22,1,A-,24,1,B+,25,1,A+,24,1,A+,23,1,C-,22,1,A-,21,1,A-,23,1,B-,24,1,3.33,2.386666667,0
Male,less than 1 hour,Yes,Yes,Yes,B-,26,1,A-,27,1,A,25,1,A,24,1,C,25,1,C,24,1,B+,25,1,B+,25,1,C-,26,1,2.94,3.403333333,0
Female,6,No,No,No,B,30,1,B+,28,1,A-,29,1,A-,28,1,ab,29,0,C+,30,1,ab,29,0,B+,29,1,C-,30,1,2.55,3.356666667,0
Male,less than 1 hour,Yes,Yes,Yes,A+,22,1,A+,20,1,A-,21,1,A+,20,1,A+,21,1,A+,20,1,B,21,1,A+,21,1,B,22,1,3.78,3.473333333,1
Female,6,No,No,Yes,D+,31,1,B-,29,1,B+,30,1,C+,29,1,A,30,1,E,31,1,B,30,1,C,30,1,D+,31,1,1.97,3.543333333,0
Male,5,Yes,No,No,C+,29,1,B,27,1,B,28,1,B+,27,1,C+,28,1,C-,29,1,B+,28,1,B-,28,1,C,27,1,2.57,3.196666667,0
Male,3,Yes,No,Yes,D,25,1,B-,27,1,B,26,1,B-,27,1,B+,26,1,C-,25,1,B+,26,1,C,26,1,E,25,1,1.99,2.906666667,0
Male,4,No,No,Yes,D,30,1,B-,31,1,B,30,1,C,31,1,B,30,1,E,29,1,C,30,1,B-,29,1,E,29,1,1.65,2.503333333,0
Female,1,Yes,No,No,B,23,1,A,25,1,A-,26,1,A,25,1,A+,26,1,B,25,1,B+,24,1,B+,24,1,C+,23,1,3.35,2.853333333,1
Male,1,No,No,Yes,A,21,1,A,20,1,A,21,1,B,20,1,B-,21,1,B,22,1,B+,20,1,B,22,1,B-,21,1,3.29,2.13,1
Female,3,Yes,No,No,A+,29,1,A+,31,1,A,30,1,A+,31,1,A+,30,1,A,29,1,A,30,1,A+,30,1,A,31,1,4,3.62,1
Female,6,Yes,No,Yes,ab,28,0,E,26,1,D+,27,1,E,28,1,ab,27,0,ab,28,0,ab,27,0,ab,27,0,ab,28,1,0.08,2.573333333,0
Male,less than 1 hour,Yes,Yes,Yes,B,26,1,A-,24,1,A,25,1,A,24,1,B-,25,1,C,26,1,B+,25,1,B,25,1,A-,24,1,3.25,2.806666667,1
